CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
187012135,12-30-2015,17:50:00,,,12-30-2015,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,RESIDENCE - APT. HOUSE,959975,171772,40.63812599,-74.08746692,"(40.638125991, -74.087466921)"
562705062,12-30-2015,17:50:00,12-30-2015,17:55:00,12-30-2015,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,INSIDE,DEPARTMENT STORE,937325,151467,40.58230199,-74.1689361,"(40.582301992, -74.168936095)"
680461475,12-30-2015,17:45:00,12-30-2015,18:30:00,12-30-2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,28,INSIDE,RESIDENCE - PUBLIC HOUSING,996472,231206,40.8012828,-73.95585632,"(40.801282804, -73.955856318)"
820255475,12-30-2015,17:45:00,12-30-2015,18:10:00,12-30-2015,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,66,INSIDE,DRY CLEANER/LAUNDRY,984005,171067,40.63622418,-74.00088418,"(40.63622418, -74.000884178)"
288702260,12-30-2015,17:44:00,12-30-2015,17:54:00,12-30-2015,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,,STREET,1013223,251430,40.85675282,-73.89526541,"(40.856752822, -73.895265411)"
875039387,12-30-2015,17:40:00,12-30-2015,18:00:00,12-30-2015,117,DANGEROUS DRUGS,500,"CONTROLLED SUBSTANCE,POSSESS.",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,1010477,243459,40.83488336,-73.90522324,"(40.834883362, -73.905223241)"
319867343,12-30-2015,17:40:00,12-30-2015,17:45:00,12-30-2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,STATEN ISLAND,120,INSIDE,RESIDENCE - PUBLIC HOUSING,961252,166311,40.62314011,-74.08284714,"(40.623140111, -74.082847142)"
942941053,12-30-2015,17:35:00,12-30-2015,17:59:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,109,INSIDE,DEPARTMENT STORE,1030234,215251,40.75737942,-73.83401937,"(40.757379417, -73.834019371)"
158120561,12-30-2015,17:35:00,,,12-30-2015,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,,STREET,1028607,187930,40.68239828,-73.84007216,"(40.682398279, -73.840072158)"
390027989,12-30-2015,17:30:00,,,12-30-2015,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,FRONT OF,STREET,1020650,241146,40.82849878,-73.86847301,"(40.828498779, -73.868473008)"
821661859,12-30-2015,17:30:00,12-30-2015,17:49:00,12-30-2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,1003582,179979,40.6606646,-73.9303226,"(40.660664596, -73.930322604)"
411954370,12-30-2015,17:30:00,12-30-2015,17:40:00,12-30-2015,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,FRONT OF,HOSPITAL,1015948,210428,40.74420427,-73.88560823,"(40.744204266, -73.885608229)"
256704941,12-30-2015,17:30:00,,,12-30-2015,341,PETIT LARCENY,313,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,HOTEL/MOTEL,987653,210944,40.74567671,-73.98772028,"(40.745676707, -73.987720275)"
401649944,12-30-2015,17:30:00,12-30-2015,17:40:00,12-30-2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,983493,150579,40.57998878,-74.00272662,"(40.579988779, -74.002726618)"
618207352,12-30-2015,17:30:00,12-30-2015,18:00:00,12-30-2015,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE - APT. HOUSE,1006423,195590,40.70350657,-73.92003135,"(40.703506571, -73.920031353)"
814917351,12-30-2015,17:30:00,,,12-30-2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,STATEN ISLAND,122,INSIDE,RESIDENCE - PUBLIC HOUSING,961969,156437,40.59603985,-74.08023172,"(40.596039846, -74.080231716)"
948576106,12-30-2015,17:30:00,,,12-30-2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,RESIDENCE-HOUSE,991647,176958,40.65239063,-73.97334355,"(40.652390625, -73.973343549)"
208144347,12-30-2015,17:30:00,,,12-30-2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,RESIDENCE - APT. HOUSE,1000452,248060,40.84753585,-73.94144011,"(40.847535845, -73.941440105)"
930670103,12-30-2015,17:30:00,,,12-30-2015,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,STREET,984722,202914,40.72363697,-73.9982986,"(40.723636973, -73.998298598)"
870560842,12-30-2015,17:25:00,12-30-2015,17:25:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,DEPARTMENT STORE,987220,212676,40.75043077,-73.98928218,"(40.750430768, -73.989282176)"
